fcgradient01,fcgradient02,fcgradient03
1.9483465,-0.05917848,0.88988984
5.08565,0.07806263,0.34691754
3.9115229,-0.11960501,0.8705964
2.32833,0.21434553,2.2796216
4.6380324,0.031097887,1.0863745
2.40481,0.67501587,1.5029607
5.0121403,-0.063890114,0.6671501
0.7951299,0.73249626,0.5475342
0.8519333,0.82837164,1.3694892
4.368821,-0.11786677,-0.76002043
2.5773509,-0.091811925,0.4501957
-0.124274924,-0.41867703,1.6335474
0.12567288,-0.009387985,2.2971685
5.2143497,-0.071044534,-1.6214813
5.81168,-0.035432786,-1.0255259
3.3305376,0.11721468,0.7875129
6.2864504,-0.13385761,-2.0660536
3.5992115,-0.05963293,-0.22102536
4.296988,-0.13076903,0.23816979
-4.493281,-1.9458975,-1.0161185
-3.9327974,-0.55042833,0.079801925
-5.251629,-2.7166564,-1.67992
-5.203184,-2.778541,-1.6130805
-3.5772698,-1.4966662,0.6210127
-1.3121247,0.5636913,1.4035333
-4.5359693,-2.0465977,-0.6939971
-5.259304,-2.8782504,-1.7678108
3.5147152,-0.09727435,-2.6159887
-3.6447732,-1.550385,-1.0826571
-3.3501976,-1.4024954,-0.7599173
-2.9997072,-1.2586716,-1.4021933
1.1292708,-0.4119414,-1.928833
-1.7203362,-0.98267275,-1.9553698
5.667643,0.07803017,0.5085929
6.1477213,-0.18372095,-2.4340198
-0.1331895,0.6924268,1.1639036
3.5898504,-0.13898309,-1.8716481
0.62968194,0.96230036,-1.0544672
-0.62649673,2.0966666,1.2265861
1.8078525,0.2813276,-1.8895813
5.613688,-0.05436881,-0.7521065
-2.0681071,2.3660436,0.96186715
4.127513,0.4604458,1.6693106
0.42873836,0.8367869,1.5285943
-0.39222345,2.099147,-0.84314245
-4.024803,5.306198,-1.1196898
-2.4650395,3.3724997,-1.0420762
1.8638246,0.15609124,-0.77251595
2.822187,0.5657053,-1.4730427
1.2412434,1.653189,-1.2312245
3.7010453,-0.1230632,-2.3070605
-1.7635026,0.51578206,-0.55852807
-0.5701551,1.728661,-0.69139934
1.9942777,-0.34327188,-1.9714965
-1.4549507,0.32289678,-1.4458901
-3.4300275,2.1295106,0.4728357
-1.5735555,1.910569,1.4011455
-4.211526,0.034494266,-0.13468984
-4.5621004,-1.7153848,-0.40481663
-3.2259989,3.5926948,-0.015813245
-1.8902899,3.0393438,-0.52860874
3.8475845,0.647165,0.8629714
-0.50097287,0.4804199,1.4889811
2.941843,0.004644783,1.2861896
4.1899843,0.2804296,-1.402605
-3.2277775,-1.1155176,0.7103111
1.7498666,0.6730538,1.006838
-3.0710788,0.028610794,0.3193294
1.160929,1.5086341,-0.4137064
4.982627,0.13196452,-1.4003817
-5.093749,-2.6641312,-1.7070233
-4.4749312,-2.117659,-0.8313718
-5.1798544,-2.3342395,-1.3725288
-5.0589995,-2.5385666,-1.4891645
-4.167059,-1.8872136,-0.6039994
0.5884701,-0.54398054,0.48800033
-0.33503172,-0.3165004,2.3215141
-2.9289944,-1.014273,0.7099366
-4.2484193,-1.9696417,-0.64325786
-2.9224777,-1.0669154,1.1446773
4.944967,-0.062143143,-0.28274342
1.477782,0.091402054,1.047611
-1.167937,-0.56460565,1.8904573
1.3462591,0.81456995,-0.6209115
-3.3871777,-1.2664304,0.7809024
-0.5637047,-0.6002996,0.8359039
3.190335,-0.29169002,0.032405365
-3.630125,4.2615824,-0.9398717
-4.156138,4.096782,-1.039602
-4.030045,4.399301,-1.0271245
-4.256548,4.874011,-1.2070017
-4.036291,3.7249594,-1.130523
-3.9991472,4.920036,-0.9279778
-4.109296,4.3322496,-1.0815353
-0.8601845,2.1697168,0.2127673
-3.6281848,4.3967557,-0.91051644
-4.4450607,4.557687,-1.1375993
-3.402372,4.32026,-0.29767987
