TR01,TR02,TR03,TR04,TR05,TR06,TR07,TR08,TR09,TR10,TR11,TR12,TR13,TR14,TR15,TR16,TR17,TR18,TR19,TR20,TR21,TR22,TR23,TR24,TR25,TR26,TR27,TR28,TR29,TR30
0.06845768,0.086176746,0.10495729,0.12388356,0.14181681,0.15748674,0.1697146,0.17759255,0.18052648,0.17820619,0.17056043,0.15774988,0.14015587,0.1183267,0.09295881,0.06498337,0.03559496,0.006130512,-0.022106007,-0.04798572,-0.07062111,-0.08935415,-0.103732824,-0.113523364,-0.118721545,-0.11956286,-0.11652625,-0.11027517,-0.1015273,-0.09097585
-0.048620887,-0.05756608,-0.066048846,-0.073119044,-0.077854745,-0.07964416,-0.0782847,-0.073912695,-0.06692485,-0.057922952,-0.04768044,-0.037163824,-0.027489023,-0.019725744,-0.014754225,-0.013196277,-0.015205462,-0.020262944,-0.027281405,-0.0348989,-0.041723575,-0.046555337,-0.04859137,-0.047476165,-0.043243468,-0.03625706,-0.02711904,-0.016587807,-0.005528195,0.005202235
0.10094024,0.12717173,0.15431553,0.18017392,0.20217526,0.21784607,0.22525659,0.22324857,0.2114823,0.1905019,0.16181868,0.12777814,0.09113718,0.05456193,0.02021696,-0.010533124,-0.03720716,-0.059974074,-0.07924546,-0.09536463,-0.10850494,-0.118723,-0.12597845,-0.13009423,-0.1308108,-0.1279669,-0.121719696,-0.1126528,-0.10165839,-0.089676544
-0.019801103,-0.030579085,-0.041732546,-0.052195426,-0.0608985,-0.066978715,-0.069842,-0.06920302,-0.06515935,-0.058220442,-0.049312677,-0.039743345,-0.030916119,-0.023921309,-0.019361295,-0.017422412,-0.017964475,-0.020540887,-0.024400046,-0.028586447,-0.032131106,-0.03421937,-0.034289554,-0.032058712,-0.027514115,-0.020915234,-0.012814551,-0.004024014,0.00457344,0.01227255
0.0746815,0.08730735,0.100039154,0.11205484,0.122291215,0.12950352,0.13262527,0.1311053,0.12493974,0.11455498,0.10079661,0.084791586,0.06768594,0.050441083,0.033647966,0.017481446,0.001960727,-0.0128489,-0.026906798,-0.040287435,-0.053067375,-0.06510899,-0.0760145,-0.085292324,-0.092446655,-0.096951984,-0.098385155,-0.096610785,-0.09176758,-0.08421823
0.073149726,0.09134719,0.1116629,0.13308449,0.1539708,0.1721878,0.18558066,0.19248262,0.19197853,0.18397298,0.16911454,0.14857723,0.12381778,0.0963759,0.06774438,0.039271604,0.012000574,-0.013460731,-0.03681803,-0.057846032,-0.07628094,-0.09185309,-0.104307316,-0.11338244,-0.11889277,-0.12083252,-0.119346745,-0.11463469,-0.10691,-0.09650111
-0.09705603,-0.12626025,-0.15388751,-0.17772731,-0.1959007,-0.20699315,-0.21017633,-0.20529023,-0.19279413,-0.1735831,-0.1488668,-0.12021732,-0.08959391,-0.05912913,-0.030775527,-0.005985133,0.014489872,0.030563312,0.042576913,0.051029813,0.056461494,0.059499584,0.060860083,0.061198257,0.06091984,0.06009558,0.058547672,0.056072652,0.052705325,0.048873913
-0.043829214,-0.05932416,-0.0732884,-0.08415686,-0.09086555,-0.09293843,-0.09034437,-0.083458476,-0.0730991,-0.06041623,-0.046615288,-0.03276187,-0.019793486,-0.008574616,0.000150902,0.005816871,0.008145353,0.007327464,0.004060258,-0.000653765,-0.00577856,-0.010428035,-0.013870306,-0.015477522,-0.014887438,-0.012229,-0.008062193,-0.003125955,0.001885032,0.00646587
-0.005472066,-0.014341226,-0.023846844,-0.033291783,-0.04188416,-0.048790317,-0.053270794,-0.054739922,-0.05272134,-0.046908587,-0.037302945,-0.024197467,-0.008071083,0.010324675,0.029814854,0.048972793,0.06650547,0.08142817,0.093031116,0.10085496,0.10464645,0.1043149,0.09994514,0.091834575,0.08052087,0.06684674,0.05194512,0.037003726,0.023015948,0.010712078
0.011132183,0.006085448,0.001763524,-0.001452355,-0.003466151,-0.004297731,-0.003848792,-0.001877656,0.001805121,0.007227695,0.014376906,0.023269728,0.033731025,0.045165285,0.056656208,0.067209855,0.07589004,0.08186378,0.084469505,0.083346695,0.07855064,0.07052422,0.059951864,0.04764512,0.034451645,0.021185875,0.008657652,-0.002334533,-0.011145317,-0.01745278
